Variable,Question_Description,Value,Value_Meaning
QN103,strongly agree or agree that they feel close to people at their school,,
QN104,reported that their parents or other adults in their family most of the time or always know where they are going or with whom they will be,,
QN105,have been unfairly disciplined at school,,
QN106,"have serious difficulty concentrating, remembering, or making decisions",,
QN107,speak English well or very well,,
SITE,Site Code,,
QNFRCIG,Currently smoked cigarettes frequently,,
QNDAYCIG,Currently smoked cigarettes daily,,
QNFREVP,Currently used electronic vapor products frequently,,
QNDAYEVP,Currently used electronic vapor products daily,,
QNFRSKL,Currently used smokeless tobacco frequently,,
QNDAYSKL,Currently used smokeless tobacco daily,,
QNFRCGR,Currently smoked cigars frequently,,
QNDAYCGR,Currently smoked cigars daily,,
QNTB2,Currently smoked cigarettes or cigars,,
QNTB3,Currently smoked cigarettes or cigars or used smokeless tobacco,,
QNTB4,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,,
QNTB5,Currently smoked cigarettes or used electronic vapor products,,
QNIUDIMP,Used an IUD (such as Mirena or ParaGard) or implant (such as Implanon or Nexplanon) before last sexual intercourse with an opposite-sex partner,,
QNOTHHPL,"Used birth control pills; an IUD or implant; or a shot, patch, or birth control ring before last sexual intercourse with an opposite-sex partner",,
QNDUALBC,"Used both a condom during last sexual intercourse and birth control pills; an IUD or implant; or a shot, patch, or birth control ring before last sexual intercourse with an opposite-sex partner",,
QNBCNONE,Did not use any method to prevent pregnancy during last sexual intercourse with an opposite-sex partner,,
QNFR0,Did not eat fruit or drink 100% fruit juices,,
QNFR1,Ate fruit or drank 100% fruit juices one or more times per day,,
QNFR2,Ate fruit or drank 100% fruit juices two or more times per day,,
QNVEG0,Did not eat vegetables,,
QNVEG1,Ate vegetables one or more times per day,,
QNVEG2,Ate vegetables two or more times per day,,
QNVEG3,Ate vegetables three or more times per day,,
QNSODA1,"Drank a can, bottle, or glass of soda or pop one or more times per day",,
QNSODA2,"Drank a can, bottle, or glass of soda or pop two or more times per day",,
QNBK7DAY,Ate breakfast on all 7 days,,
QNPA0DAY,Did not participate in at least 60 minutes of physical activity on at least 1 day,,
QNPA7DAY,Were physically active at least 60 minutes per day on all 7 days,,
QNDLYPE,Attended physical education classes on all 5 days,,
QNNODNT,Never saw a dentist,,
QNSPDRK1,"Drank a can, bottle, or glass of a sports drink one or more times per day",,
QNSPDRK2,"Drank a can, bottle, or glass of a sports drink two or more times per day",,
QNWATER1,Drank a bottle or glass of plain water one or more times per day,,
QNWATER2,drank a bottle or glass of plain water two or more times per day,,
QNWATER3,drank a bottle or glass of plain water three or more times per day,,
QNILLICT,Ever used select illicit drugs,,
QNOBESE,Had obesity,,
QNOWT,Were Overweight,,
WEIGHT,Overall Analysis Weight,,
STRATUM,Sampling Strata,,
PSU,Primary Sampling Unit,,
BMIPCT,Body Mass Index Percentile,,
RACEETH,Race/Ethnicity,,
Q6ORIG,Original unedited student height,,
Q7ORIG,Original unedited student weight,,
,ไม่มีคำอธิบาย,2,Asian
,ไม่มีคำอธิบาย,3,Black or African American
,ไม่มีคำอธิบาย,5,White
,ไม่มีคำอธิบาย,7,Withdrawal or something else
,ไม่มีคำอธิบาย,7,Multiple - Hispanic
,ไม่มีคำอธิบาย,8,Some other way
,ไม่มีคำอธิบาย,8,Not sure
,ไม่มีคำอธิบาย,8,Multiple - Non-Hispanic
,ไม่มีคำอธิบาย,,
,ไม่มีคำอธิบาย,,
